text,category,template_id
The public trash cans on Church Road are overflowing for two weeks now and attracting pests.,Sanitation & Waste,Sanitation & Waste::6
"Please fix the sinkhole that opened up on Main St this past hour, cars are swerving around it.",Traffic & Roads,Traffic & Roads::19
"Someone has been loitering near the school on Church Road last night, parents are concerned.",Public Safety,Public Safety::7
The gas meter box on Union Street appears damaged for the past three days.,Water & Utilities,Water & Utilities::13
There's a large pothole on Lakeview Drive that's been damaging cars this past hour.,Traffic & Roads,Traffic & Roads::0
"A neighbor's renovation work on Church Road started very early this past hour, before permitted hours.",Noise Complaints,Noise Complaints::8
"An open manhole cover on Highfield Ave has been left uncovered yesterday afternoon, it's a serious hazard.",Water & Utilities,Water & Utilities::15
The electricity substation near 5th Avenue has been making loud buzzing noises last night.,Water & Utilities,Water & Utilities::16
There's a huge traffic jam on Lakeview Drive for the past three days because of a broken-down vehicle.,Traffic & Roads,Traffic & Roads::13
A dead animal has been left uncollected on Park Road last night.,Sanitation & Waste,Sanitation & Waste::5
"Litter has been piling up along Union Street yesterday afternoon, it needs a cleanup crew.",Sanitation & Waste,Sanitation & Waste::4
A gate at the construction site on Station Road has been left unlocked every evening this week.,Public Safety,Public Safety::15
"An unsecured construction site on Hillcrest Road has been left open for the past three days, kids could wander in.",Public Safety,Public Safety::10
The traffic light at the corner of 5th Avenue has been stuck on red for two weeks now.,Traffic & Roads,Traffic & Roads::1
"There have been reports of break-ins near Station Road this past hour, residents want more patrols.",Public Safety,Public Safety::9
Loose electrical wiring has been spotted hanging near Oak Lane yesterday afternoon.,Public Safety,Public Safety::6
A dangerously leaning tree on 5th Avenue looks like it could fall for two weeks now.,Public Safety,Public Safety::11
A broken guardrail on the bridge near 5th Avenue needs urgent road repair this morning.,Traffic & Roads,Traffic & Roads::15
A dangerously leaning tree on Park Road looks like it could fall for two weeks now.,Public Safety,Public Safety::11
Cars are parking illegally on Lakeview Drive and blocking the bike lane last night.,Traffic & Roads,Traffic & Roads::2
There's a water main leak on Park Road that's been flooding the street this past hour.,Water & Utilities,Water & Utilities::0
"The one-way sign on Hillcrest Road is bent and hard to read this past hour, causing wrong-way driving.",Traffic & Roads,Traffic & Roads::17
Overgrown grass and weeds at the park near Riverside Drive need to be cut last night.,Parks & Public Spaces,Parks & Public Spaces::3
There's a water main leak on Highfield Ave that's been flooding the street for two weeks now.,Water & Utilities,Water & Utilities::0
Loose electrical wiring has been spotted hanging near Church Road for two weeks now.,Public Safety,Public Safety::6
"Traffic congestion on Elm Street has gotten much worse over the weekend, please review the signal timing.",Traffic & Roads,Traffic & Roads::5
A dangerously leaning tree on Riverside Drive looks like it could fall for two weeks now.,Public Safety,Public Safety::11
A sewage smell is coming from a manhole on Oak Lane this morning.,Water & Utilities,Water & Utilities::3
The gas meter box on Lakeview Drive appears damaged for the past three days.,Water & Utilities,Water & Utilities::13
Roadworks on Hillcrest Road have left an unmarked hole in the pavement for the past three days.,Traffic & Roads,Traffic & Roads::16
The power keeps flickering on and off on Cedar Street for the past three days.,Water & Utilities,Water & Utilities::8
The public restrooms at the park on Station Road have been out of service over the weekend.,Parks & Public Spaces,Parks & Public Spaces::2
"There's an abandoned building on Cedar Street with a broken fence, unsafe yesterday afternoon.",Public Safety,Public Safety::1
"The garbage truck skipped our block on Cedar Street over the weekend, can someone come by?",Sanitation & Waste,Sanitation & Waste::9
Continuous drilling noise from Lakeview Drive over the weekend has been reported by several residents.,Noise Complaints,Noise Complaints::12
"Loud construction work on Elm Street has been going on every evening this week, well outside permitted hours.",Noise Complaints,Noise Complaints::0
"We've had no electricity on Lakeview Drive over the weekend, please send a crew.",Water & Utilities,Water & Utilities::1
The gas meter box on Union Street appears damaged yesterday afternoon.,Water & Utilities,Water & Utilities::13
"The pavement is cracked and uneven on Union Street over the weekend, cyclists keep swerving to avoid it.",Traffic & Roads,Traffic & Roads::9
Late-night parties on Church Road this morning are keeping residents awake.,Noise Complaints,Noise Complaints::5
The emergency call box on Station Road appears to be non-functional yesterday afternoon.,Public Safety,Public Safety::13
"The road on Cedar Street is badly flooded for two weeks now, it's not passable.",Traffic & Roads,Traffic & Roads::3
Heavy trucks are damaging the road surface on 5th Avenue last night.,Traffic & Roads,Traffic & Roads::18
"The street sweeper hasn't come through Park Road this past hour, leaves and debris are piling up.",Sanitation & Waste,Sanitation & Waste::15
Someone has been illegally dumping construction waste near Oak Lane for the past three days.,Sanitation & Waste,Sanitation & Waste::1
The power keeps flickering on and off on Union Street this morning.,Water & Utilities,Water & Utilities::8
A gate at the construction site on Market Street has been left unlocked yesterday afternoon.,Public Safety,Public Safety::15
A stop sign near Hillcrest Road was knocked down over the weekend and hasn't been replaced.,Traffic & Roads,Traffic & Roads::6
The recycling bins on Union Street haven't been emptied since Monday.,Sanitation & Waste,Sanitation & Waste::2
A fire hydrant on Highfield Ave appears damaged this past hour and may not work in an emergency.,Public Safety,Public Safety::3
A dangerously leaning tree on Main St looks like it could fall over the weekend.,Public Safety,Public Safety::11
"Someone burned trash illegally near Elm Street over the weekend, leaving ash everywhere.",Sanitation & Waste,Sanitation & Waste::14
A bench in the park on Riverside Drive is damaged and unsafe to sit on last night.,Parks & Public Spaces,Parks & Public Spaces::4
"A neighbor on 5th Avenue has been playing loud music over the weekend, disturbing the whole block.",Noise Complaints,Noise Complaints::1
Motorbikes revving their engines on Riverside Drive over the weekend are extremely disruptive.,Noise Complaints,Noise Complaints::7
The community garden near Church Road has been vandalized this past hour.,Parks & Public Spaces,Parks & Public Spaces::13
"An unsecured construction site on Union Street has been left open over the weekend, kids could wander in.",Public Safety,Public Safety::10
"An unsecured construction site on 5th Avenue has been left open for the past three days, kids could wander in.",Public Safety,Public Safety::10
"The garbage truck skipped our block on Park Road since Monday, can someone come by?",Sanitation & Waste,Sanitation & Waste::9
"Loud construction work on Cedar Street has been going on for two weeks now, well outside permitted hours.",Noise Complaints,Noise Complaints::0
The water on Main St has been shut off for two weeks now without any prior notice.,Water & Utilities,Water & Utilities::11
The compost bins provided on Lakeview Drive are broken and leaking this past hour.,Sanitation & Waste,Sanitation & Waste::13
"Someone burned trash illegally near Church Road every evening this week, leaving ash everywhere.",Sanitation & Waste,Sanitation & Waste::14
Park signage near Station Road listing opening hours is faded and unreadable this morning.,Parks & Public Spaces,Parks & Public Spaces::14
A bench in the park on Church Road is damaged and unsafe to sit on since Monday.,Parks & Public Spaces,Parks & Public Spaces::4
The crosswalk markings on Lakeview Drive have faded and are barely visible since Monday.,Traffic & Roads,Traffic & Roads::7
A pothole the size of a dinner plate has appeared on Maple Avenue every evening this week.,Traffic & Roads,Traffic & Roads::10
A restaurant's outdoor speakers on Elm Street are far too loud for two weeks now.,Noise Complaints,Noise Complaints::11
"A neighbor's renovation work on Highfield Ave started very early this past hour, before permitted hours.",Noise Complaints,Noise Complaints::8
The traffic light at the corner of Main St has been stuck on red yesterday afternoon.,Traffic & Roads,Traffic & Roads::1
A stop sign near Cedar Street was knocked down over the weekend and hasn't been replaced.,Traffic & Roads,Traffic & Roads::6
Litter bins in the park on Highfield Ave are missing or broken since Monday.,Parks & Public Spaces,Parks & Public Spaces::10
The pedestrian crossing button on Hillcrest Road isn't working this past hour.,Traffic & Roads,Traffic & Roads::14
There's no working smoke detector reported in the shared stairwell on Elm Street for the past three days.,Public Safety,Public Safety::14
"The one-way sign on Station Road is bent and hard to read for the past three days, causing wrong-way driving.",Traffic & Roads,Traffic & Roads::17
"An open manhole cover on Maple Avenue has been left uncovered every evening this week, it's a serious hazard.",Water & Utilities,Water & Utilities::15
"There have been reports of break-ins near 5th Avenue for two weeks now, residents want more patrols.",Public Safety,Public Safety::9
The public water fountain in the park near Highfield Ave isn't working for two weeks now.,Parks & Public Spaces,Parks & Public Spaces::6
Overgrown grass and weeds at the park near Oak Lane need to be cut yesterday afternoon.,Parks & Public Spaces,Parks & Public Spaces::3
"An unsecured construction site on 5th Avenue has been left open over the weekend, kids could wander in.",Public Safety,Public Safety::10
"The sidewalk on Lakeview Drive is cracked and uneven last night, a real trip hazard.",Public Safety,Public Safety::4
There's a large pothole on 5th Avenue that's been damaging cars since Monday.,Traffic & Roads,Traffic & Roads::0
A pothole the size of a dinner plate has appeared on Park Road for the past three days.,Traffic & Roads,Traffic & Roads::10
"A neighbor's renovation work on Park Road started very early over the weekend, before permitted hours.",Noise Complaints,Noise Complaints::8
There's a huge traffic jam on Lakeview Drive last night because of a broken-down vehicle.,Traffic & Roads,Traffic & Roads::13
"The road on Oak Lane is badly flooded for the past three days, it's not passable.",Traffic & Roads,Traffic & Roads::3
The streetlights on Maple Avenue have been out every evening this week.,Water & Utilities,Water & Utilities::4
The public trash cans on Elm Street are overflowing for two weeks now and attracting pests.,Sanitation & Waste,Sanitation & Waste::6
The swings at the playground on Station Road are rusted and need replacing since Monday.,Parks & Public Spaces,Parks & Public Spaces::11
"Suspicious activity has been reported near Highfield Ave for the past three days, requesting a patrol.",Public Safety,Public Safety::2
"A neighbor's renovation work on Maple Avenue started very early this morning, before permitted hours.",Noise Complaints,Noise Complaints::8
A dangerously leaning tree on Park Road looks like it could fall over the weekend.,Public Safety,Public Safety::11
"Someone burned trash illegally near Station Road yesterday afternoon, leaving ash everywhere.",Sanitation & Waste,Sanitation & Waste::14
Motorbikes revving their engines on Main St last night are extremely disruptive.,Noise Complaints,Noise Complaints::7
"There have been reports of break-ins near Church Road this morning, residents want more patrols.",Public Safety,Public Safety::9
The compost bins provided on Hillcrest Road are broken and leaking over the weekend.,Sanitation & Waste,Sanitation & Waste::13
A restaurant's outdoor speakers on Station Road are far too loud for the past three days.,Noise Complaints,Noise Complaints::11
The swings at the playground on Main St are rusted and need replacing for two weeks now.,Parks & Public Spaces,Parks & Public Spaces::11
Motorbikes revving their engines on Park Road this morning are extremely disruptive.,Noise Complaints,Noise Complaints::7
Recyclables are being mixed with regular trash by collectors on Main St this past hour.,Sanitation & Waste,Sanitation & Waste::17
The power keeps flickering on and off on Main St over the weekend.,Water & Utilities,Water & Utilities::8
Residents on 5th Avenue report the tap water smells strange for the past three days.,Water & Utilities,Water & Utilities::14
"Suspicious activity has been reported near Cedar Street for two weeks now, requesting a patrol.",Public Safety,Public Safety::2
"Please fix the sinkhole that opened up on Park Road this morning, cars are swerving around it.",Traffic & Roads,Traffic & Roads::19
Cars are parking illegally on Lakeview Drive and blocking the bike lane for two weeks now.,Traffic & Roads,Traffic & Roads::2
The streetlights on 5th Avenue have been out every evening this week.,Water & Utilities,Water & Utilities::4
There's an old mattress and broken furniture dumped on Park Road every evening this week.,Sanitation & Waste,Sanitation & Waste::10
There's a water main leak on Oak Lane that's been flooding the street every evening this week.,Water & Utilities,Water & Utilities::0
A dangerously leaning tree on Oak Lane looks like it could fall yesterday afternoon.,Public Safety,Public Safety::11
A gate at the construction site on Lakeview Drive has been left unlocked this past hour.,Public Safety,Public Safety::15
Flies are swarming around a garbage pile on Elm Street since Monday.,Sanitation & Waste,Sanitation & Waste::12
A fire hydrant on Park Road appears damaged yesterday afternoon and may not work in an emergency.,Public Safety,Public Safety::3
Fallen tree branches are blocking a path in the park on Riverside Drive since Monday.,Parks & Public Spaces,Parks & Public Spaces::7
Continuous drilling noise from Oak Lane last night has been reported by several residents.,Noise Complaints,Noise Complaints::12
The electricity substation near Union Street has been making loud buzzing noises this morning.,Water & Utilities,Water & Utilities::16
Park signage near Station Road listing opening hours is faded and unreadable every evening this week.,Parks & Public Spaces,Parks & Public Spaces::14
Heavy trucks are damaging the road surface on Park Road this morning.,Traffic & Roads,Traffic & Roads::18
There's an old mattress and broken furniture dumped on Union Street since Monday.,Sanitation & Waste,Sanitation & Waste::10
"The road on Church Road is badly flooded every evening this week, it's not passable.",Traffic & Roads,Traffic & Roads::3
A sewage smell is coming from a manhole on Union Street yesterday afternoon.,Water & Utilities,Water & Utilities::3
A dead animal has been left uncollected on Main St every evening this week.,Sanitation & Waste,Sanitation & Waste::5
Late-night parties on Park Road this morning are keeping residents awake.,Noise Complaints,Noise Complaints::5
"Park lighting near Station Road has stopped working since Monday, it's dark and unsafe in the evenings.",Parks & Public Spaces,Parks & Public Spaces::9
The public restrooms at the park on Hillcrest Road have been out of service this past hour.,Parks & Public Spaces,Parks & Public Spaces::2
A dangerously leaning tree on Highfield Ave looks like it could fall last night.,Public Safety,Public Safety::11
The streetlights on Church Road have been out since Monday.,Water & Utilities,Water & Utilities::4
Motorbikes revving their engines on Union Street this morning are extremely disruptive.,Noise Complaints,Noise Complaints::7
Continuous drilling noise from Highfield Ave this past hour has been reported by several residents.,Noise Complaints,Noise Complaints::12
There's an old mattress and broken furniture dumped on Elm Street this past hour.,Sanitation & Waste,Sanitation & Waste::10
The recycling bins on Lakeview Drive haven't been emptied since Monday.,Sanitation & Waste,Sanitation & Waste::2
"The road on Main St is badly flooded this past hour, it's not passable.",Traffic & Roads,Traffic & Roads::3
A dangerously leaning tree on Union Street looks like it could fall this past hour.,Public Safety,Public Safety::11
A dangerously leaning tree on 5th Avenue looks like it could fall this past hour.,Public Safety,Public Safety::11
A guard rail near Market Street is broken yesterday afternoon and needs urgent repair.,Public Safety,Public Safety::5
Flies are swarming around a garbage pile on Station Road last night.,Sanitation & Waste,Sanitation & Waste::12
"Litter has been piling up along Main St this morning, it needs a cleanup crew.",Sanitation & Waste,Sanitation & Waste::4
Motorbikes revving their engines on Lakeview Drive yesterday afternoon are extremely disruptive.,Noise Complaints,Noise Complaints::7
The emergency call box on Elm Street appears to be non-functional for two weeks now.,Public Safety,Public Safety::13
"Someone burned trash illegally near Elm Street every evening this week, leaving ash everywhere.",Sanitation & Waste,Sanitation & Waste::14
There's a large pothole on 5th Avenue that's been damaging cars this morning.,Traffic & Roads,Traffic & Roads::0
The playground equipment at the park on Union Street is broken this past hour.,Parks & Public Spaces,Parks & Public Spaces::0
"Loud construction work on Lakeview Drive has been going on this past hour, well outside permitted hours.",Noise Complaints,Noise Complaints::0
Someone has been illegally dumping construction waste near Main St this past hour.,Sanitation & Waste,Sanitation & Waste::1
A stop sign near Market Street was knocked down every evening this week and hasn't been replaced.,Traffic & Roads,Traffic & Roads::6
Loose electrical wiring has been spotted hanging near Elm Street yesterday afternoon.,Public Safety,Public Safety::6
Household waste has been dumped on the sidewalk of Oak Lane this morning.,Sanitation & Waste,Sanitation & Waste::7
A dead animal has been left uncollected on Riverside Drive since Monday.,Sanitation & Waste,Sanitation & Waste::5
Continuous drilling noise from Oak Lane since Monday has been reported by several residents.,Noise Complaints,Noise Complaints::12
Loose electrical wiring has been spotted hanging near Riverside Drive for the past three days.,Public Safety,Public Safety::6
Flies are swarming around a garbage pile on Church Road since Monday.,Sanitation & Waste,Sanitation & Waste::12
The crosswalk markings on Riverside Drive have faded and are barely visible since Monday.,Traffic & Roads,Traffic & Roads::7
The public water fountain in the park near Highfield Ave isn't working yesterday afternoon.,Parks & Public Spaces,Parks & Public Spaces::6
The pedestrian crossing button on Elm Street isn't working last night.,Traffic & Roads,Traffic & Roads::14
There's a large pothole on Cedar Street that's been damaging cars this past hour.,Traffic & Roads,Traffic & Roads::0
Late-night parties on Hillcrest Road over the weekend are keeping residents awake.,Noise Complaints,Noise Complaints::5
"The garbage truck skipped our block on Union Street for two weeks now, can someone come by?",Sanitation & Waste,Sanitation & Waste::9
There's a bad smell coming from an uncollected dumpster on Market Street every evening this week.,Sanitation & Waste,Sanitation & Waste::3
"The road on Main St is badly flooded every evening this week, it's not passable.",Traffic & Roads,Traffic & Roads::3
The public water fountain in the park near Park Road isn't working every evening this week.,Parks & Public Spaces,Parks & Public Spaces::6
The emergency call box on 5th Avenue appears to be non-functional last night.,Public Safety,Public Safety::13
A bench in the park on Main St is damaged and unsafe to sit on every evening this week.,Parks & Public Spaces,Parks & Public Spaces::4
"A fallen power line is dangling near Market Street for two weeks now, it looks dangerous.",Water & Utilities,Water & Utilities::10
"There have been reports of break-ins near 5th Avenue last night, residents want more patrols.",Public Safety,Public Safety::9
"The pavement is cracked and uneven on Maple Avenue last night, cyclists keep swerving to avoid it.",Traffic & Roads,Traffic & Roads::9
"The garbage truck skipped our block on Market Street for the past three days, can someone come by?",Sanitation & Waste,Sanitation & Waste::9
"A neighbor on Main St has been playing loud music every evening this week, disturbing the whole block.",Noise Complaints,Noise Complaints::1
"Street signage near Cedar Street is missing, causing confusion for drivers every evening this week.",Traffic & Roads,Traffic & Roads::4
"Garbage collection on Riverside Drive was missed since Monday, bins are overflowing.",Sanitation & Waste,Sanitation & Waste::0
Graffiti has appeared on the park walls near Lakeview Drive this morning.,Parks & Public Spaces,Parks & Public Spaces::1
Motorbikes revving their engines on Maple Avenue every evening this week are extremely disruptive.,Noise Complaints,Noise Complaints::7
Late-night parties on Station Road this morning are keeping residents awake.,Noise Complaints,Noise Complaints::5
"There's an abandoned building on Riverside Drive with a broken fence, unsafe for two weeks now.",Public Safety,Public Safety::1
"The garbage truck skipped our block on Riverside Drive over the weekend, can someone come by?",Sanitation & Waste,Sanitation & Waste::9
"A fallen power line is dangling near Cedar Street last night, it looks dangerous.",Water & Utilities,Water & Utilities::10
"A neighbor's renovation work on Elm Street started very early for the past three days, before permitted hours.",Noise Complaints,Noise Complaints::8
"The road on Elm Street is badly flooded this past hour, it's not passable.",Traffic & Roads,Traffic & Roads::3
A house party on Lakeview Drive last night has loud music going well past midnight.,Noise Complaints,Noise Complaints::13
"The sidewalk on Oak Lane is cracked and uneven for the past three days, a real trip hazard.",Public Safety,Public Safety::4
Broken glass has been found near the playground on Oak Lane yesterday afternoon.,Parks & Public Spaces,Parks & Public Spaces::5
A restaurant's outdoor speakers on Main St are far too loud for the past three days.,Noise Complaints,Noise Complaints::11
There's a water main leak on Main St that's been flooding the street over the weekend.,Water & Utilities,Water & Utilities::0
Rats have been spotted near the uncollected trash on Park Road every evening this week.,Sanitation & Waste,Sanitation & Waste::8
A restaurant's outdoor speakers on Station Road are far too loud over the weekend.,Noise Complaints,Noise Complaints::11
The power keeps flickering on and off on Highfield Ave this past hour.,Water & Utilities,Water & Utilities::8
A sewage smell is coming from a manhole on Cedar Street over the weekend.,Water & Utilities,Water & Utilities::3
"A fallen power line is dangling near Lakeview Drive every evening this week, it looks dangerous.",Water & Utilities,Water & Utilities::10
"An open manhole cover on Main St has been left uncovered for the past three days, it's a serious hazard.",Water & Utilities,Water & Utilities::15
There's a large pothole on Cedar Street that's been damaging cars last night.,Traffic & Roads,Traffic & Roads::0
"A fire hydrant on Station Road is leaking continuously over the weekend, wasting a lot of water.",Water & Utilities,Water & Utilities::12
The water on Church Road has been shut off for the past three days without any prior notice.,Water & Utilities,Water & Utilities::11
Graffiti has appeared on the park walls near Maple Avenue this past hour.,Parks & Public Spaces,Parks & Public Spaces::1
"The street sweeper hasn't come through Station Road this morning, leaves and debris are piling up.",Sanitation & Waste,Sanitation & Waste::15
"Someone burned trash illegally near Lakeview Drive this past hour, leaving ash everywhere.",Sanitation & Waste,Sanitation & Waste::14
A bench in the park on Union Street is damaged and unsafe to sit on for the past three days.,Parks & Public Spaces,Parks & Public Spaces::4
Broken glass has been found near the playground on Elm Street last night.,Parks & Public Spaces,Parks & Public Spaces::5
Cars are parking illegally on Union Street and blocking the bike lane for the past three days.,Traffic & Roads,Traffic & Roads::2
"Drivers are running the red light on Maple Avenue every evening this week, it's an accident waiting to happen.",Traffic & Roads,Traffic & Roads::11
A bar on Riverside Drive has had excessively loud events over the weekend.,Noise Complaints,Noise Complaints::3
There's no working smoke detector reported in the shared stairwell on Riverside Drive this past hour.,Public Safety,Public Safety::14
"The one-way sign on Cedar Street is bent and hard to read yesterday afternoon, causing wrong-way driving.",Traffic & Roads,Traffic & Roads::17
The emergency call box on Cedar Street appears to be non-functional last night.,Public Safety,Public Safety::13
A house party on Hillcrest Road yesterday afternoon has loud music going well past midnight.,Noise Complaints,Noise Complaints::13
Park signage near Maple Avenue listing opening hours is faded and unreadable this morning.,Parks & Public Spaces,Parks & Public Spaces::14
A bar on Hillcrest Road has had excessively loud events over the weekend.,Noise Complaints,Noise Complaints::3
There's an old mattress and broken furniture dumped on Cedar Street last night.,Sanitation & Waste,Sanitation & Waste::10
The public trash cans on Highfield Ave are overflowing yesterday afternoon and attracting pests.,Sanitation & Waste,Sanitation & Waste::6
"There's been a total blackout on Lakeview Drive every evening this week, residents are asking when it'll be fixed.",Water & Utilities,Water & Utilities::9
"An unsecured construction site on Lakeview Drive has been left open for two weeks now, kids could wander in.",Public Safety,Public Safety::10
There's a large pothole on Lakeview Drive that's been damaging cars over the weekend.,Traffic & Roads,Traffic & Roads::0
Fallen tree branches are blocking a path in the park on Union Street for two weeks now.,Parks & Public Spaces,Parks & Public Spaces::7
The compost bins provided on Hillcrest Road are broken and leaking since Monday.,Sanitation & Waste,Sanitation & Waste::13
"The pavement is cracked and uneven on Lakeview Drive this past hour, cyclists keep swerving to avoid it.",Traffic & Roads,Traffic & Roads::9
Loud generator noise from a property on Oak Lane has continued over the weekend.,Noise Complaints,Noise Complaints::6
A bench in the park on 5th Avenue is damaged and unsafe to sit on this past hour.,Parks & Public Spaces,Parks & Public Spaces::4
Household waste has been dumped on the sidewalk of Station Road last night.,Sanitation & Waste,Sanitation & Waste::7
A guard rail near Cedar Street is broken last night and needs urgent repair.,Public Safety,Public Safety::5
There's a large pothole on Market Street that's been damaging cars every evening this week.,Traffic & Roads,Traffic & Roads::0
The electricity substation near Market Street has been making loud buzzing noises for the past three days.,Water & Utilities,Water & Utilities::16
"An unsecured construction site on Lakeview Drive has been left open for the past three days, kids could wander in.",Public Safety,Public Safety::10
Overgrown grass and weeds at the park near Park Road need to be cut for the past three days.,Parks & Public Spaces,Parks & Public Spaces::3
A fire hydrant on Hillcrest Road appears damaged over the weekend and may not work in an emergency.,Public Safety,Public Safety::3
"We've had no electricity on Station Road last night, please send a crew.",Water & Utilities,Water & Utilities::1
"A fire hydrant on Church Road is leaking continuously for the past three days, wasting a lot of water.",Water & Utilities,Water & Utilities::12
Litter bins in the park on 5th Avenue are missing or broken yesterday afternoon.,Parks & Public Spaces,Parks & Public Spaces::10
"The pavement is cracked and uneven on Elm Street this morning, cyclists keep swerving to avoid it.",Traffic & Roads,Traffic & Roads::9
"A streetlamp on Lakeview Drive has been flickering and going dark every evening this week, it feels unsafe at night.",Public Safety,Public Safety::0
"We've had no electricity on Park Road over the weekend, please send a crew.",Water & Utilities,Water & Utilities::1
A gate at the construction site on Market Street has been left unlocked for the past three days.,Public Safety,Public Safety::15
There's a huge traffic jam on Oak Lane this morning because of a broken-down vehicle.,Traffic & Roads,Traffic & Roads::13
"There's been a total blackout on Market Street over the weekend, residents are asking when it'll be fixed.",Water & Utilities,Water & Utilities::9
Broken glass has been scattered on the pavement of Highfield Ave since Monday.,Public Safety,Public Safety::12
Flies are swarming around a garbage pile on Market Street since Monday.,Sanitation & Waste,Sanitation & Waste::12
"An open manhole cover on Park Road has been left uncovered for two weeks now, it's a serious hazard.",Water & Utilities,Water & Utilities::15
Heavy trucks are damaging the road surface on Riverside Drive last night.,Traffic & Roads,Traffic & Roads::18
Late-night parties on Main St for two weeks now are keeping residents awake.,Noise Complaints,Noise Complaints::5
A bar on Oak Lane has had excessively loud events last night.,Noise Complaints,Noise Complaints::3
The water on 5th Avenue has been shut off since Monday without any prior notice.,Water & Utilities,Water & Utilities::11
"There's an abandoned building on Cedar Street with a broken fence, unsafe over the weekend.",Public Safety,Public Safety::1
"The one-way sign on Park Road is bent and hard to read for two weeks now, causing wrong-way driving.",Traffic & Roads,Traffic & Roads::17
Flies are swarming around a garbage pile on Highfield Ave this morning.,Sanitation & Waste,Sanitation & Waste::12
"Litter has been piling up along Church Road for the past three days, it needs a cleanup crew.",Sanitation & Waste,Sanitation & Waste::4
Park signage near Elm Street listing opening hours is faded and unreadable every evening this week.,Parks & Public Spaces,Parks & Public Spaces::14
The swings at the playground on Market Street are rusted and need replacing yesterday afternoon.,Parks & Public Spaces,Parks & Public Spaces::11
"Fireworks have been set off repeatedly near Lakeview Drive for the past three days, disturbing residents.",Noise Complaints,Noise Complaints::10
Broken glass has been found near the playground on Highfield Ave over the weekend.,Parks & Public Spaces,Parks & Public Spaces::5
Household waste has been dumped on the sidewalk of Riverside Drive this morning.,Sanitation & Waste,Sanitation & Waste::7
Household waste has been dumped on the sidewalk of Hillcrest Road this past hour.,Sanitation & Waste,Sanitation & Waste::7
A guard rail near Elm Street is broken over the weekend and needs urgent repair.,Public Safety,Public Safety::5
The road markings/lane lines on 5th Avenue have completely worn away this past hour.,Traffic & Roads,Traffic & Roads::12
"Street signage near Park Road is missing, causing confusion for drivers last night.",Traffic & Roads,Traffic & Roads::4
"A fallen power line is dangling near Park Road over the weekend, it looks dangerous.",Water & Utilities,Water & Utilities::10
Yard waste hasn't been picked up on Hillcrest Road every evening this week despite being scheduled.,Sanitation & Waste,Sanitation & Waste::11
"Someone has been loitering near the school on Market Street for the past three days, parents are concerned.",Public Safety,Public Safety::7
An unleashed aggressive dog has been reported at the park on Oak Lane for two weeks now.,Parks & Public Spaces,Parks & Public Spaces::12
Household waste has been dumped on the sidewalk of Oak Lane this past hour.,Sanitation & Waste,Sanitation & Waste::7
The crosswalk markings on Park Road have faded and are barely visible for two weeks now.,Traffic & Roads,Traffic & Roads::7
"There have been reports of break-ins near Oak Lane since Monday, residents want more patrols.",Public Safety,Public Safety::9
A dead animal has been left uncollected on Cedar Street last night.,Sanitation & Waste,Sanitation & Waste::5
A burst pipe on Cedar Street is spraying water onto the road for the past three days.,Water & Utilities,Water & Utilities::7
There's constant dog barking from a property on Elm Street since Monday.,Noise Complaints,Noise Complaints::2
"Loud construction work on Oak Lane has been going on yesterday afternoon, well outside permitted hours.",Noise Complaints,Noise Complaints::0
"Loud construction work on Park Road has been going on for two weeks now, well outside permitted hours.",Noise Complaints,Noise Complaints::0
Continuous drilling noise from Cedar Street since Monday has been reported by several residents.,Noise Complaints,Noise Complaints::12
There's constant dog barking from a property on Main St over the weekend.,Noise Complaints,Noise Complaints::2
"A security camera on Lakeview Drive has been broken this morning, it's a blind spot now.",Public Safety,Public Safety::8
The basketball court near Riverside Drive has large cracks in the surface this morning.,Parks & Public Spaces,Parks & Public Spaces::8
Roadworks on Park Road have left an unmarked hole in the pavement this past hour.,Traffic & Roads,Traffic & Roads::16
The community garden near Highfield Ave has been vandalized yesterday afternoon.,Parks & Public Spaces,Parks & Public Spaces::13
Rats have been spotted near the uncollected trash on Elm Street this past hour.,Sanitation & Waste,Sanitation & Waste::8
Motorbikes revving their engines on Hillcrest Road this past hour are extremely disruptive.,Noise Complaints,Noise Complaints::7
The compost bins provided on Elm Street are broken and leaking for two weeks now.,Sanitation & Waste,Sanitation & Waste::13
The pedestrian crossing button on Highfield Ave isn't working last night.,Traffic & Roads,Traffic & Roads::14
"The sidewalk on Hillcrest Road is cracked and uneven last night, a real trip hazard.",Public Safety,Public Safety::4
A pothole the size of a dinner plate has appeared on 5th Avenue every evening this week.,Traffic & Roads,Traffic & Roads::10
The public water fountain in the park near Highfield Ave isn't working for the past three days.,Parks & Public Spaces,Parks & Public Spaces::6
Litter bins in the park on Hillcrest Road are missing or broken since Monday.,Parks & Public Spaces,Parks & Public Spaces::10
"The sidewalk on Station Road is cracked and uneven last night, a real trip hazard.",Public Safety,Public Safety::4
Car alarms keep going off on Oak Lane every evening this week without anyone responding.,Noise Complaints,Noise Complaints::4
"Suspicious activity has been reported near Maple Avenue this morning, requesting a patrol.",Public Safety,Public Safety::2
There's a bad smell coming from an uncollected dumpster on Union Street last night.,Sanitation & Waste,Sanitation & Waste::3
"A streetlamp on Cedar Street has been flickering and going dark this past hour, it feels unsafe at night.",Public Safety,Public Safety::0
"The street sweeper hasn't come through Main St this past hour, leaves and debris are piling up.",Sanitation & Waste,Sanitation & Waste::15
